1,11/11/2011,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
3,02/22/2222,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
4,03/03/3333,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
5,04/04/0004,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
6,05/05/2005,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
7,06/06/2006,6.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0
8,07/07/2007,7.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0
1,03/05/2002,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
10,03/03/2003,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
10,04/04/2006,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
21,05/05/2005,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
33,06/06/2006,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0
